url,assunto,nivel,grupo_subassunto,subassunto,nivel_subassunto
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/casamento/,Algoritmos e Estruturas de Dados,Médio,Estratégias de Algoritmos,Estratégias simples de iteração e repetição,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/cubo/,Fundamentos de Matemática,Médio,Conceitos de Aritmética e Geometria,"Números inteiros, operações (incluindo exponenciação) e comparações",PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/minhoca/,Algoritmos e Estruturas de Dados,Difícil,Algoritmos em Árvores,Diâmetro e centro de árvore em O(N),P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/falha/,Algoritmos e Estruturas de Dados,Difícil,Estruturas de Dados,Árvore de Prefixos (Trie),P2
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f3/festa/,Algoritmos e Estruturas de Dados,Difícil,Estratégias de Algoritmos,Estratégias simples de iteração e repetição,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/calculo/,Fundamentos de Matemática,Fácil,Conceitos de Matemática Discreta,"Argumentos de contagem (princípio aditivo, princípio multiplicativo)",PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/lista/,Algoritmos e Estruturas de Dados,Médio,Algoritmos de Programação Dinâmica,"Programação dinâmica em intervalos de vetores/matrizes (por exemplo, Multiplicação de Cadeia de Matrizes)",P1
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/media/,Fundamentos de Matemática,Médio,Conceitos de Aritmética e Geometria,"Números inteiros, operações (incluindo exponenciação) e comparações",PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/passatempo/,Fundamentos de Matemática,Médio,Conceitos de Matemática Discreta,Funções e relações,PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/poligrama/,Algoritmos e Estruturas de Dados,Difícil,Estruturas de Dados,Histograma (Vetor de Frequências),PJ
https://olimpiada.ic.unicamp.br/pratique/p2/2021/f2/retangulo/,Algoritmos e Estruturas de Dados,Difícil,Algoritmos de Geometria,"Representação de vetores, retas e segmentos de reta",P2
